pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
351244,17750.681086499997,RUS,Russia,Sakha,3.5055273999999996,0.0
351245,10260.217309199998,RUS,Russia,Sakha,3.253571273,0.0
351246,5620.3542452,RUS,Russia,Sakha,3.650671739,0.0
351247,2248.69212714,RUS,Russia,Sakha,3.072964101,0.0
351248,2567.62710472,RUS,Russia,Sakha,1.773421457,0.0
351249,6181.91051668,RUS,Russia,Sakha,2.8645699319999998,0.0
351250,866.743696052,RUS,Russia,Sakha,3.63720627,0.0
351260,19909.0736605,RUS,Russia,Sakha,3.188435248,0.0
351270,25046.3718821,RUS,Russia,Sakha,3.132021322,0.0
351280,28682.6411052,RUS,Russia,Sakha,2.799969781,0.0
351290,15149.9313346,RUS,Russia,Sakha,2.537902616,0.0
351310,4878.4254405389,RUS,Russia,Sakha,1.535399253,0.0
351320,20765.35779337778,RUS,Russia,Sakha,2.965483346,0.0
351330,20232.72922547494,RUS,Russia,Sakha,0.7896165409999999,0.0
